Date,Country,Total Average Rating
06,AT,3.8593333333333333
06,AU,4.19
06,BE,3.7
06,BR,4.35
06,CA,4.12
06,CL,4.2
06,CO,4.72
06,DE,4.15
06,DK,4.2
06,ES,3.9746666666666663
06,FR,4.5
06,GB,4.19
06,GR,4.570000000000001
06,ID,4.55
06,IE,4.41
06,MX,4.49
06,NL,4.16
06,NZ,4.429999999999999
06,PH,4.249333333333333
06,PL,4.320000000000001
06,RS,4.63
06,TR,4.715
06,US,4.04
06,ZA,4.35
07,AT,3.83
07,AU,4.193870967741936
07,BE,3.7
07,BR,4.340322580645161
07,CA,4.120645161290323
07,CL,4.2
07,CO,4.72
07,DE,4.15
07,DK,4.2
07,ES,4.0
07,FR,4.418709677419355
07,GB,4.19
07,GR,4.57
07,ID,4.55
07,IE,4.41
07,MX,4.49
07,NL,4.16
07,NZ,4.43
07,PH,4.26
07,PL,4.32
07,RS,4.63
07,TR,4.72
07,US,4.04
07,ZA,4.35
08,AT,3.83
08,AU,4.199677419354838
08,BE,3.7
08,BR,4.34
08,CA,4.13
08,CL,4.198064516129032
08,CO,4.72
08,DE,4.156129032258065
08,DK,4.198064516129032
08,ES,4.0
08,FR,4.32
08,GB,4.19
08,GR,4.569677419354838
08,ID,4.55
08,IE,4.41
08,MX,4.49
08,NL,4.159354838709677
08,NZ,4.43
08,PH,4.260322580645161
08,PL,4.32
08,RS,4.63
08,TR,4.718709677419355
08,US,4.033870967741936
08,ZA,4.35
09,AT,3.83
09,AU,4.2
09,BE,3.7
09,BR,4.34
09,CA,4.13
09,CL,4.2
09,CO,4.72
09,DE,4.16
09,DK,4.2
09,ES,4.0
09,FR,4.457
09,GB,4.197666666666667
09,GR,4.576
09,ID,4.579
09,IE,4.41
09,MX,4.49
09,NL,4.16
09,NZ,4.429999999999999
09,PH,4.26
09,PL,4.320000000000001
09,RS,4.63
09,TR,4.72
09,US,4.03
09,ZA,4.35
10,AT,3.83
10,AU,4.2
10,BE,3.7
10,BR,4.34
10,CA,4.13
10,CL,4.2
10,CO,4.72
10,DE,4.16
10,DK,4.2
10,ES,4.0
10,FR,4.53
10,GB,4.2
10,GR,4.58
10,ID,4.58
10,IE,4.41
10,MX,4.49
10,NL,4.16
10,NZ,4.43
10,PH,4.26
10,PL,4.32
10,RS,4.63
10,TR,4.72
10,US,4.03
10,ZA,4.35
11,AT,3.83
11,AU,4.191333333333334
11,BE,3.7
11,BR,4.34
11,CA,4.120666666666667
11,CL,4.2
11,CO,4.723333333333333
11,DE,4.16
11,DK,4.2
11,ES,4.0
11,FR,4.53
11,GB,4.19
11,GR,4.578666666666667
11,ID,4.58
11,IE,4.41
11,MX,4.49
11,NL,4.16
11,NZ,4.429999999999999
11,PH,4.237
11,PL,4.320000000000001
11,RS,4.63
11,TR,4.72
11,US,4.03
11,ZA,4.35
12,AT,3.83
12,AU,4.18
12,BE,3.7061290322580644
12,BR,4.340322580645161
12,CA,4.119677419354839
12,CL,4.198064516129032
12,CO,4.74
12,DE,4.16
12,DK,4.200322580645161
12,ES,4.0
12,FR,4.402258064516129
12,GB,4.169354838709677
12,GR,4.579677419354839
12,ID,4.58
12,IE,4.409032258064516
12,MX,4.489354838709678
12,NL,4.161612903225806
12,NZ,4.429354838709678
12,PH,4.23
12,PL,4.32
12,RS,4.628064516129032
12,TR,4.72
12,US,4.030322580645161
12,ZA,4.349032258064516
